,Genome Name,species,antibiotic,resistance
0,Klebsiella pneumoniae strain E02_03_112Ph,Klebsiella pneumoniae,cefepime,Susceptible
1,Shigella sonnei strain 164675,Shigella sonnei,sulfonamides,Susceptible
2,Klebsiella pneumoniae strain MRSN7076,Klebsiella pneumoniae,ciprofloxacin,Susceptible
3,Klebsiella pneumoniae strain MRSN430405,Klebsiella pneumoniae,cefepime,Resistant
4,Shigella sonnei strain 152343,Shigella sonnei,cefotaxime,Susceptible
5,Shigella sonnei strain 206717,Shigella sonnei,tetracycline,Resistant
6,Shigella sonnei strain 164673,Shigella sonnei,ampicillin,Susceptible
7,Klebsiella pneumoniae strain DSM 30104 strain RIT 418,Klebsiella pneumoniae,aztreonam,Susceptible
10,Staphylococcus aureus strain 99634_21,Staphylococcus aureus,gentamicin,Susceptible
11,Klebsiella pneumoniae strain PN100,Klebsiella pneumoniae,tetracycline,Resistant
13,Staphylococcus aureus strain 27198_155F12,Staphylococcus aureus,penicillin,Susceptible
14,Klebsiella pneumoniae strain MRSN380979,Klebsiella pneumoniae,aztreonam,Susceptible
15,Klebsiella pneumoniae strain MRSN728987,Klebsiella pneumoniae,piperacillin_tazobactam,Resistant
16,Shigella sonnei strain 183730,Shigella sonnei,ceftazidime,Susceptible
17,Klebsiella pneumoniae strain CVUAS 11316.2,Klebsiella pneumoniae,cefoxitin,Susceptible
18,Shigella sonnei strain 181088,Shigella sonnei,streptomycin,Resistant
19,Staphylococcus aureus strain 27191_155F222,Staphylococcus aureus,penicillin,Susceptible
20,Shigella sonnei strain 195634,Shigella sonnei,cefpirome,Resistant
21,Shigella sonnei strain 209721,Shigella sonnei,chloramphenicol,Susceptible
22,Shigella sonnei strain 182836,Shigella sonnei,streptomycin,Susceptible
23,Klebsiella pneumoniae strain KZN_INI_KINF_28,Klebsiella pneumoniae,meropenem,Susceptible
24,Klebsiella pneumoniae strain P30-74,Klebsiella pneumoniae,ciprofloxacin,Resistant
25,Klebsiella pneumoniae strain MRSN368320,Klebsiella pneumoniae,levofloxacin,Resistant
26,Klebsiella pneumoniae strain MRSN583141,Klebsiella pneumoniae,levofloxacin,Susceptible
27,Shigella sonnei strain 184401,Shigella sonnei,ertapenem,Susceptible
28,Klebsiella pneumoniae strain MRSN515247,Klebsiella pneumoniae,nitrofurantoin,Resistant
